scenario_id,strategy,latency_ms,cpu_ms,error,
S00177,Reference,8.484,0.973,None,
S00177,Hybrid,7.074,0.846,None,
S00178,Embed,2.028,0.782,None,
S00178,Reference,35.38,4.41,None,
S00178,Hybrid,14.969,2.32,None,
S00179,Embed,1.728,0.643,None,
S00179,Reference,142.596,18.913,None,
S00179,Hybrid,77.651,11.227,None,
S00180,Embed,1.807,0.69,None,
S00180,Reference,5.404,0.936,None,
S00180,Hybrid,3.724,0.907,None,
S00181,Embed,1.726,0.651,None,
S00181,Reference,29.316,4.761,None,
S00181,Hybrid,26.97,4.534,None,
S00182,Embed,1.66,0.637,None,
S00182,Reference,143.845,21.509,None,
S00182,Hybrid,111.706,16.558,None,
S00183,Embed,1.536,0.568,None,
S00183,Reference,4.362,0.897,None,
S00183,Hybrid,3.586,0.794,None,
S00184,Embed,1.95,0.694,None,
S00184,Reference,34.331,5.093,None,
S00184,Hybrid,21.402,4.201,None,
S00185,Embed,1.674,0.63,None,
S00185,Reference,129.063,19.98,None,
S00185,Hybrid,132.254,18.657,None,
S00186,Embed,1.632,0.604,None,
S00186,Reference,8.925,0.807,None,
S00186,Hybrid,7.438,0.795,None,
S00187,Embed,1.575,0.581,None,
S00187,Reference,42.709,5.341,None,
S00187,Hybrid,28.75,4.439,None,
S00188,Embed,2.304,0.745,None,
S00188,Reference,150.644,21.03,None,
S00188,Hybrid,112.617,19.649,None,
S00189,Embed,1.854,0.691,None,
S00189,Reference,8.608,0.913,None,
S00189,Hybrid,5.547,0.728,None,
S00190,Embed,1.405,0.526,None,
S00190,Reference,39.598,4.945,None,
S00190,Hybrid,24.191,4.038,None,
S00191,Embed,1.737,0.669,None,
S00191,Reference,122.979,22.329,None,
S00191,Hybrid,113.865,18.58,None,
S00192,Embed,4.693,1.338,None,
S00192,Reference,5.302,1.08,None,
S00192,Hybrid,2.251,0.425,None,
S00193,Embed,3.941,1.191,None,
S00193,Reference,28.967,4.55,None,
S00193,Hybrid,18.642,2.452,None,
S00194,Embed,3.323,1.172,None,
S00194,Reference,143.463,23.087,None,
S00194,Hybrid,115.794,14.865,None,
S00195,Embed,2.747,0.876,None,
S00195,Reference,2.873,0.576,None,
S00195,Hybrid,2.529,0.439,None,
S00196,Embed,2.705,0.942,None,
S00196,Reference,27.564,4.143,None,
S00196,Hybrid,18.627,2.673,None,
S00197,Embed,4.719,1.522,None,
S00197,Reference,148.478,22.194,None,
S00197,Hybrid,102.712,14.85,None,
S00198,Embed,5.048,1.377,None,
S00198,Reference,7.962,0.676,None,
S00198,Hybrid,7.157,0.626,None,
S00199,Embed,3.579,1.143,None,
S00199,Reference,40.406,5.347,None,
S00199,Hybrid,33.3,4.259,None,
S00200,Embed,2.934,0.955,None,
S00200,Reference,193.156,29.234,None,
S00200,Hybrid,113.635,14.12,None,
S00201,Embed,2.672,0.824,None,
S00201,Reference,8.928,0.833,None,
S00201,Hybrid,7.597,0.864,None,
S00202,Embed,6.487,2.204,None,
S00202,Reference,49.136,6.443,None,
S00202,Hybrid,29.402,3.634,None,
S00203,Embed,3.381,1.027,None,
S00203,Reference,212.014,26.985,None,
S00203,Hybrid,157.964,19.348,None,
S00204,Embed,4.134,1.147,None,
S00204,Reference,4.79,0.931,None,
S00204,Hybrid,7.593,1.38,None,
S00205,Embed,3.624,1.145,None,
S00205,Reference,54.371,11.607,None,
S00205,Hybrid,41.872,9.333,None,
S00206,Embed,5.032,1.214,None,
S00206,Reference,230.811,35.986,None,
S00206,Hybrid,269.395,58.01,None,
S00207,Embed,3.508,0.993,None,
S00207,Reference,7.252,1.649,None,
S00207,Hybrid,5.24,1.102,None,
S00208,Embed,2.877,0.86,None,
S00208,Reference,35.641,6.203,None,
S00208,Hybrid,43.455,10.247,None,
S00209,Embed,4.065,1.261,None,
S00209,Reference,240.644,50.8,None,
S00209,Hybrid,237.955,49.296,None,
S00210,Embed,5.36,1.621,None,
S00210,Reference,9.983,1.318,None,
S00210,Hybrid,10.148,1.404,None,
S00211,Embed,4.079,1.554,None,
S00211,Reference,44.644,8.137,None,
S00211,Hybrid,54.637,11.127,None,
S00212,Embed,4.472,1.249,None,
S00212,Reference,222.989,40.595,None,
S00212,Hybrid,257.852,47.727,None,
S00213,Embed,3.613,1.201,None,
S00213,Reference,9.629,1.307,None,
S00213,Hybrid,8.769,1.018,None,
S00214,Embed,2.649,0.817,None,
S00214,Reference,57.921,12.492,None,
S00214,Hybrid,56.644,11.309,None,
S00215,Embed,3.315,1.118,None,
S00215,Reference,211.827,38.947,None,
S00215,Hybrid,216.622,41.929,None,
S00216,Embed,4.086,1.326,None,
S00216,Reference,18.466,0.798,None,
S00216,Hybrid,15.095,0.598,None,
S00217,Embed,2.942,0.922,None,
S00217,Reference,195.293,5.054,None,
S00217,Hybrid,124.135,3.437,None,
S00218,Embed,7.089,1.443,None,
S00218,Reference,991.899,25.273,None,
S00218,Hybrid,733.747,18.788,None,
S00219,Embed,2.593,0.833,None,
S00219,Reference,16.167,0.559,None,
S00219,Hybrid,15.223,0.522,None,
S00220,Embed,3.25,1.05,None,
S00220,Reference,158.431,4.974,None,
S00220,Hybrid,191.96,5.464,None,
S00221,Embed,4.058,1.303,None,
S00221,Reference,989.55,29.845,None,
S00221,Hybrid,958.59,24.404,None,
S00222,Embed,3.184,0.968,None,
S00222,Reference,23.259,0.883,None,
S00222,Hybrid,17.69,0.582,None,
S00223,Embed,5.36,1.561,None,
S00223,Reference,193.176,5.772,None,
S00223,Hybrid,136.888,3.557,None,
S00224,Embed,3.513,1.152,None,
S00224,Reference,893.61,27.139,None,
S00224,Hybrid,820.825,19.541,None,
